,description,link,location,phone,service_name,va_facility
601,"Womens health services, including obstetrics and gynecology, are provided through the Womens Primary Care Wellness Center.",/services/Obstetrics_and_Gynecology.asp,Buffalo VA 3B,866-884-8567,Obstetrics and Gynecology,www.buffalo
602,"The purpose of physical and occupational therapy is to help Veterans return to a full life after an injury, surgery or disability.",/services/Occupational_Therapy_and_Physical_Medicine.asp,"Buffalo 3DBatavia Building 1, 1st Floor",716-862-8661,Occupational Therapy and Physical Medicine,www.buffalo
603,Orthopedics is a field of medical practice that involves conditions of the musculoskeletal system.,/services/Orthopedics.asp,"Buffalo VA, 7B",716-862-6060,Orthopedics,www.buffalo
604,VA Western New York Healthcare System operates a full service inpatient and outpatient pharmacy to meet the medication needs of the Veterans we serve.,/services/pharmacy.asp,"Buffalo VA, 1EBatavia VA, Building 1, Ground Floor",716-862-6334  716-862-6581,Pharmacy,www.buffalo
605,The Podiatric Surgery Department provides total foot and ankle care to Veterans.,/services/Podiatry.asp,"Buffalo VA 1ABatavia VA Building 1, Ground Floor",716-862-8934,Podiatry,www.buffalo
606,Polytrauma System of Care provides high quality interdisciplinary care to patients.,/services/Polytrauma_Program.asp,"Buffalo VA, 306D-1",716-862-8661,Polytrauma Program,www.buffalo
607,The behavioral health care staff is here to help Veterans and their families manage and overcome the symptoms of posttraumatic stress disorder PTSD.,/services/Posttraumatic_Stress_Disorder_PTSD.asp,"Buffalo VABatavia VA, Building 5",585-297-1200  585-297-1200,Posttraumatic Stress Disorder PTSD,www.buffalo
608,Primary care is provided by your Patient Aligned Care Team and focuses on whole-person care to include life-long health and wellness planning.,/services/Primary_Care.asp,"White and Red team First floor, A wing;Pink team Third floor, B wing;Green and Blue team Fourth floor, D wing",716-834-9200  800-532-8387,Primary Care,www.buffalo
609,"Prosthetics and Sensory Aids Service is responsible for providing medically prescribed equipment, supplies, devices, and prosthetic and orthotic services.",/services/Prosthetics_and_Sensory_Aids_Service.asp,Buffalo VA Basement-D wing,716-862-6358,Prosthetics and Sensory Aids Service,www.buffalo
610,The Radiology and Diagnostic Imaging Service at VA Western New York Healthcare System uses some of the most advanced imaging devices available.,/services/Radiology_and_Diagnostic_Imaging.asp,Buffalo VA 2A,716-862-7820  716-862-7821,Radiology and Diagnostic Imaging,www.buffalo
611,VA Health Care Spinal Cord Injury and Disorders program provides a number of inpatient and outpatient services to meet the needs of Veterans with spinal cord injury.,/services/Spinal_Cord_Injury_and_Disorders.asp,"Buffalo VA, 1st floor, east wing",716-862-6028,Spinal Cord Injury and Disorders,www.buffalo
612,Our Substance Abuse Programs offer encouragement and support to help break free from addiction to alcohol and other substances.,/services/Substance_Abuse_Services.asp,Buffalo VA 10C,716-862-8565,Substance Abuse Services,www.buffalo
613,Telehealth provides Veterans access to health care that is easier to access through the use of new health care technology.,/services/Telehealth.asp,Buffalo VA,716-862-8840,Telehealth,www.buffalo
614,"For eligible Veterans, VA Western New York Healthcare System provides transplant services.",/services/Transplant_Service.asp,Buffalo VA 7D,716-862-7855,Transplant Service,www.buffalo
615,"We provide medical and surgical care in urology, including advanced laparoscopy.",/services/Urology.asp,Buffalo VA 5D,716-862-6059,Urology,www.buffalo
616,We offer a wide range of services for partially sighted Veterans who have low vision or are legally blind.,/services/Vision_Rehabilitation_Services.asp,Buffalo VA 6B,716-862-7438,Vision Rehabilitation Services,www.buffalo
617,used mainly to relieve discomfort associated with a variety of diseases and conditions.,/services/Acupuncture.asp,"Room 333E, Building 1",800-362-8262,Acupuncture,www.butler
618,The Adult Day Health Care Programis an organized program of activities during the day in a community group setting.,/services/Adult_Day_Health.asp,Building 1Room 115ES,800-362-8262 Ext. 5025,Adult Day Health Care (ADHC),www.butler
619,"A treatment resource for Veterans struggling with a wide range of emotional, readjustment and behavioral health issues",/services/Behavioral_Health.asp,Building 1Room 238W,800-362-8262 Ext. 5039,Behavioral Health,www.butler
620,"Whether you and the Veteran you care for could use some help at home or you just need someone to listen, we're here to support you.",/services/Caregiver_Program.asp,"Bldg.1, Room 309WS",800-362-8262 Ext. 2492,Caregiver Program,www.butler
621,"The Community Living Center, (formerly known as a nursing home) provides short-stay and long-stay nursing home care to Veterans",/services/Community_Living_Center.asp,Village of Valor: Bldg. 20Halls of Honor: Bldg. 20,800-362-8262 Ext. 2223,Community Living Center,www.butler
622,VA Butler Healthcare provides dental services to eligible Veterans.,/services/Dental.asp,"Bldg. 1, Room 509C",800-362-8262 Ext. 5011,Dental,www.butler
623,Veteran residents participate in a full range of rehabilitation services with a goal of successful reintegration back into the local community,/services/Domiciliary_Residential_Rehabilitation_Treatment.asp,VA Butler Healthcare,800-362-8262 Ext. 5033,Domiciliary Residential Rehabilitation Treatment,www.butler
624,VA Butler Healthcare has dedicated staff serving our former POWs.,/services/Former_Prisoner_of_War_FPOW_Program.asp,"Bldg. 1, Room 309WS",800-362-8262 Ext. 2492,Former Prisoner of War (FPOW) Program,www.butler
625,We are committed to raising the awareness of healthy behaviors and encouraging and supporting Veterans in their efforts to adopt healthy lifestyles.,/services/Health_and_Wellness.asp,VA Butler Healthcare,800-362-8262 Ext. 2292,Health and Wellness,www.butler
626,"If you are a Veteran who has lost your home, receive the support you have earned to get back on your feet.",/services/Homeless_Veterans.asp,"Bldg. 1, Room 140E",800-362-8262 Ext. 2439,Homeless Veterans,www.butler
627,VA Butler Healthcare provides both inpatient and in-home hospice care for Veterans.,/services/Hospice_Care.asp,VA Butler Healthcare,800-362-8262 Ext. 2763,Hospice Care,www.butler
628,"Open from 6:30am-4pm, Monday through Friday",/services/Lab_Services.asp,"Bldg. 1, Basement",800-362-8262 Ext. 4666,Lab Services,www.butler
629,VA Butler Healthcare offers several types of treatment to help Veterans recover from MST.,/services/Military_Sexual_Trauma_MST_Treatment.asp,VA Butler Healthcare,800-362-8262 Ext. 2498  800-362-8262 Ext. 2486,Military Sexual Trauma (MST),www.butler
630,assists eligible Veterans in their efforts to receive VA benefits and services.,/services/Minority_Veterans_Program.asp,VA Butler Healthcare,800-362-8262 Ext. 4318,Minority Veterans Program,www.butler
631,Palliative care is a plan of care that aims to relieve suffering and improve the quality of life for Veterans and their families.,/services/Palliative_Care.asp,VA Butler Healthcare,800-362-8262 Ext. 2763,Palliative Care,www.butler
632,Provides emotional and spiritual comfort and support to Veterans and their families,/services/Pastoral_Care.asp,VA Butler Healthcare,800-362-8262 Ext. 5009,Pastoral Care,www.butler
633,Veterans enrolled in VA health care are eligible for prescription medications at VA Butler's Pharmacy.,/services/Pharmacy.asp,"Bldg. 1, Basement",800-362-8262 Ext. 5012,Pharmacy,www.butler
634,PM&R aims to enhance and restore functional ability and quality of life to those with physical impairments or disabilities.,/services/Physical_Medicine_and_Rehabilitation_PM_R.asp,"Bldg. 1, Room 333E",800-362-8262 Ext. 5048,Physical Medicine and Rehabilitation (PM&R),www.butler
635,"We offer a wide range of Primary Care treatment programs, placing a special focus on health care prevention.",/services/Primary_Care.asp,VA Butler Healthcare,800-362-8262,Primary Care,www.butler
636,"Prosthetics provides orthotics, sensory aids, aids for the blind, medical equipment, and medical supplies to patients.",/services/Prosthetics.asp,"Bldg. 1, Room 306",800-362-8262 Ext. 2535,Prosthetics,www.butler
637,VA is ready to provide health care and other medical services to our nation's returning OEF/OIF/OND Servicemembers.,/services/Returning_Service_Members.asp,"Bldg. 1 Basement, Room CA09A",800-362-8262 Ext. 2493,Returning Service Members,www.butler
638,Addresses a variety of specialty care medicine services,/services/Specialty_Care.asp,VA Butler Healthcare,800-362-8262 Ext. 2205,Specialty Care,www.butler
639,VA Butler has a suicide prevention coordinator to ensure Veterans receive needed counseling and services - the Veterans Crisis Line also provides support 24/7/365.,/services/Suicide_Prevention.asp,CA31Exam Room 11 in Primary Care,800-362-8262 Ext. 2737,Suicide Prevention,www.butler
640,Ensures you get the right care in the right place at the right time and aims to make your home into the preferred place of care,/services/Telehealth.asp,VA Butler Healthcare,800-362-8262 Ext. 4607,Telehealth,www.butler
641,VJO helps Veterans avoid unnecessary incarceration through integration into VA substance and mental health treatment programs.,/services/Veterans_Justice_Outreach_VJO.asp,VA Butler Healthcare,800-362-8262 Ext. 2240,Veterans Justice Outreach (VJO),www.butler
642,Comprehensive program of services for eligible Veterans who have low-vision or who are legally blind.,/services/Visual_Impairment_Services.asp,"Bldg. 1, Room 129E",800-362-8262 Ext. 2736,Visual Impairment Services,www.butler
643,"assists Veterans to prepare for, find, and maintain suitable jobs",/services/Vocational_Rehabilitation.asp,VA Butler Healthcare,800-362-8262 Ext. 2590,Vocational Rehabilitation,www.butler
644,Services available to women Veterans include comprehensive primary care as well as specialty care such as reproductive services and treatment for military sexual trauma.,/services/Women_Veterans.asp,"Bldg. 1, Room 226W",800-362-8262 Ext. 2756,Women Veterans,www.butler
645,Acupuncture therapy has been shown to be effective in treating symptoms resulting from a wide range of conditions.,/services/Acupuncture.asp,Bldg 1,585-393-7293,Acupuncture,www.canandaigua
646,Adult Day Health Care provides for general health care and social needs of Veteran patients.,/services/Adult_Day_Health_Care.asp,Bldg. 8 Second Floor,585-393-7911,Adult Day Health Care,www.canandaigua
647,The Agent Orange Registry health exam alerts Veterans to possible long-term health problems that may be related to Agent Orange exposure during their military service.,/services/Agent_Orange_Registry_Exams.asp,Bldg. 2 Basement,585-393-7348,Agent Orange Registry Exams,www.canandaigua
648,Alzheimers and Dementia care help diagnose and manage these diseases which affect the brain,/services/Alzheimer_s_Disease.asp,"Basement Bldg. 3, Room 12C",585-393-7514,Alzheimers Disease,www.canandaigua
649,Audiology professionals evaluate and treat hearing impairment. Speech pathology professionals evaluate and treat disorders in speech.,/services/Audiology_Speech_Pathology.asp,Bldg. 8B,585-393-7891,Audiology & Speech Pathology,www.canandaigua
650,VA Chaplains support patients and families by providing spiritual guidance,/services/Chaplain.asp,Bldg. 8B,585-393-7886,Chaplain,www.canandaigua
651,Canandaigua VA Medical Center offers chiropractic care that treats the body as a whole.,/services/Chiropractic_Care.asp,Bldg 1,585-393-7293,Chiropractic Care,www.canandaigua
652,"Community living center care strives to restore the resident to maximum function, prevent further decline and maximize independence.",/services/Community_Living_Center_and_Nursing_Home.asp,"Community Living Center Bldg. 8, Second Floor, Room 231Nursing Home Care Basement Bldg 3, Rm 12D",585-393-7563  585-393-7523,Community Living Center and Nursing Home,www.canandaigua
653,Canandaigua VA Medical Center administers compensation and pension exams for Veterans who have claims with the Veterans Benefits Administration.,/services/Compensation_and_Pension_Exams.asp,ROPC,585-463-2650,Compensation and Pension Exams,www.canandaigua
654,"For eligible Veterans, Canandaigua VA Medical Center provides a full range of dental services and oral surgery.",/services/Dentistry.asp,VAMC Canandaigua Bldg 1ROPC,585-393-7175  585-463-2719,Dentistry,www.canandaigua
655,VA Health Care Upstate New York offers diabetes screenings and resources for all Veterans to help manage diabetes or prediabetes.,/services/Diabetes.asp,VAMC Canandaigua,585-394-9917,Diabetes,www.canandaigua
656,Canandaigua VA Medical Center delivers eye and vision care in several specialties.,/services/Eye_and_Vision_Care.asp,Bldg 1,585-393-7293,Eye and Vision Care,www.canandaigua
657,The Fee Basis is a VA program that allows Veterans to be seen by a community provider.,/services/Fee_Basis_Fee_Service.asp,Canandaigua VA Medical Center,800-396-7929,Fee Basis/Fee Service,www.canandaigua
658,The Former Prisoner of War advocate at Canandaigua VA Medical Center assists former POWs in accessing the health care and benefits they are entitled to.,/services/Former_Prisoner_of_War_Advocate.asp,Bldg 6,585-393-7273,Former Prisoner of War Advocate,www.canandaigua
659,"Home based primary care is a group effort between the Veteran, family, caregiver and VA.",/services/Home_Based_Primary_Care.asp,Bldg 6B,585-393-7496,Home Based Primary Care,www.canandaigua
660,"To explore the possibility of using in home telehealth to coordinate health care, contact our office or speak with a primary care provider about the service.",/services/Home_Telehealth.asp,Bldg 3B,585-393-8096,Home Telehealth,www.canandaigua
661,"Through the Homemaker and Home Health Aide Program, VA pays for homemaker and home health aide assistance for Veterans.",/services/Homemaker_and_Home_Health_Aide_Program.asp,"Basement Bldg 3, Rm 12H",585-393-7500,Homemaker and Home Health Aide Program,www.canandaigua
662,"For patients who are facing serious medical conditions, Canandaigua VA Medical Center offers palliative and hospice care to ease the physical and emotional symptoms.",/services/Hospice_and_Palliative_Care.asp,Bldg 7A,585-393-7924  585-393-7563,Hospice and Palliative Care,www.canandaigua
663,The Laboratory and Pathology services provide a full range of diagnostic services in support of identifying and monitoring illnesses and other medical conditions.,/services/Lab_and_Pathology_Services.asp,Bldg 1,585-393-7144,Lab and Pathology Services,www.canandaigua
664,VA MOVE weight management program encourages Veterans to lose weight and live healthier.,/services/MOVE_Weight_Management_Program.asp,ROPC,585-463-2630  877-619-0106 Ext. option 1,MOVE! Weight Management Program,www.canandaigua
665,"To screen for breast cancer, Canandaigua VA Medical Center provides free mammograms for all enrolled women Veterans.",/services/Mammography.asp,Bldg 4 First Floor,585-393-7621,Mammography,www.canandaigua
666,The Behavioral Health Care Line at Canandaigua VA Medical Center serves Veterans in inpatient and outpatient settings to help them achieve a full and fulfilling life.,/services/Mental_Health.asp,"Bldg. 1, 1st, 2nd Floor",585-393-7250,Mental Health,www.canandaigua
667,"Whether your nutrition questions are due to a medical condition or the desire to live a healthier life, we can help you plan meals that will contribute to better health.",/services/Nutrition_and_Food_Services.asp,"Bldg. 1, 1st Floor",585-393-7324,Nutrition and Food Services,www.canandaigua
668,VA is here to deliver the benefits you have earned and help you make the transition back to civilian life.,/services/OEF_OIF_OND_Veterans_Point_of_Contact.asp,Canandaigua and ROPC,585-393-7169,OEF OIF OND Veterans Point of Contact,www.canandaigua
669,"The purpose of physical and occupational therapy is to help Veterans return to a full life after an injury, surgery or disability.",/services/Occupational_Therapy_and_Physical_Medicine.asp,Canandaigua VAMC Bldg 3 basementROPC,585-393-7529  585-463-2627,Occupational Therapy and Physical Medicine,www.canandaigua
670,Canandaigua VA Medical Center operates a full-service inpatient and outpatient pharmacy to meet the medication needs of the Veterans we serve.,/services/pharmacy.asp,VAMC Canandaigua Building 2 BasementROPC Main Lobby 1-800-532-8387,585-393-7122,Pharmacy,www.canandaigua
671,The Podiatric Surgery Department provides total foot and ankle care to Veterans.,/services/Podiatry.asp,Bldg 1,585-393-7293,Podiatry,www.canandaigua
672,VA Polytrauma System of Care provides high-quality interdisciplinary care to patients.,/services/Polytrauma_Program.asp,Bldg 3 basement,585-393-7529,Polytrauma Program,www.canandaigua
673,The behavioral health care staff is here to help Veterans and their families manage and overcome the symptoms of posttraumatic stress disorder,/services/Posttraumatic_Stress_Disorder_PTSD_Treatment.asp,"VAMC Canandaigua Bldg 1, 2nd FloorROPC",585-393-7250  585-393-7147,Posttraumatic Stress Disorder (PTSD) Treatment,www.canandaigua
674,Primary care is provided by your Patient Aligned Care Team and focuses on whole-person care to include life-long health and wellness planning.,/services/Primary_Care.asp,Building 1Rochester VA Outpatient Clinic,585-394-2000  585-463-2600,Primary Care,www.canandaigua
675,"Prosthetics and Sensory Aids Service is responsible for providing medically prescribed equipment, supplies, devices, and prosthetic and orthotic services.",/services/Prosthetics_and_Sensory_Aids.asp,Bldg. 3 Basement,585-393-7511,Prosthetics and Sensory Aids,www.canandaigua
676,The Radiology and Diagnostic Imaging Service at Canandaigua VA Medical Center uses some of the most advanced imaging devices available.,/services/Radiology_and_Diagnostic_Imaging.asp,Bldg 1,585-393-7176,Radiology and Diagnostic Imaging,www.canandaigua
677,VA Health Care Spinal Cord Injury and Disorders program provides a number of inpatient and outpatient services to meet the needs of Veterans with spinal cord injury.,/services/Spinal_Cord_Injury_and_Disorders.asp,"Building 1, 3rd floor, room 341",585-393-7736,Spinal Cord Injury and Disorders,www.canandaigua
678,Our Substance Abuse Programs offer encouragement and support to help break free from addiction to alcohol and other substances.,/services/Substance_Abuse.asp,Bldg 9,585-393-7974,Substance Abuse,www.canandaigua
679,Telehealth provides Veterans access to health care through the use of new health care technology.,/services/Telehealth.asp,Bldg. 4,585-393-8096,Telehealth,www.canandaigua
680,"We provide medical and surgical care in urology, including advanced laparoscopy.",/services/Urology.asp,Bldg 1,585-393-7293,Urology,www.canandaigua
681,"Veterans Integration to Academic Leadership is a Veteran-centered, results oriented, collaboration between the Canandaigua VA and higher education institutions.",/services/Veterans_Integration_to_Academic_Leadership.asp,"Building 6A, 1st floor",585-393-7462,Veterans Integration to Academic Leadership,www.canandaigua
682,We offer a wide range of services for partially sighted Veterans who have low vision or are legally blind.,/services/Vision_Rehabilitation.asp,VAMC Canandaigua,585-393-7131,Vision Rehabilitation,www.canandaigua
683,The mission of the Puerto Rico Blind Rehabilitation Center is to provide comprehensive rehabilitation services tailored to the Veterans individual needs and goals.,/services/blind.asp,Blind Rehabilitation Center (BRC)VA Medical Center (124),787-641-7582 Ext. 21141/21143  800-449-8729,Blind Rehabilitation,www.caribbean
684,"Physical Medicine and Rehabilitation Service provides treatment patients with neurological, orthopedic, medical, psychiatric, and surgical conditions.",/services/Physical_Medicine_and_Rehabilitation.asp,VA Caribbean Healthcare System,787-641-7582 Ext. 11335  800-449-8729,Physical Medicine and Rehabilitation,www.caribbean
685,Our specialty care program includes Surgical and Medical Service with six functional areas.,/services/specialty.asp,Central Alabama Veterans Health Care System,800-214-8387,"Acute Care, Specialties & Diagnostics",www.centralalabama
686,"Our extended care and rehabilitation program provides physical medicine and rehabilitation, transitional care, as well as home and community care.",/services/ecrc.asp,Central Alabama Veterans Health Care System,800-214-8387,Extended Care and Rehabilitation,www.centralalabama
687,Our Former Prisoners of War Advocate can provide special assistance to former POWs.,/services/Former_Prisoners_of_War_Advocate.asp,Central Alabama Veterans Health Care System,334-214-8387 Ext. 4338  800-214-8387 Ext. 4338,Former Prisoners of War Advocate,www.centralalabama
688,Home Based Primary Care offers an extensive range of treatment modalities with emphasis on health care prevention and maintenance within the home of the patient.,/services/hbpc.asp,Central Alabama Veterans Health Care System,800-214-8387,Home Based Primary Care (HBPC),www.centralalabama
689,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/mentalhealth.asp,Central Alabama Veterans Health Care System,800-214-8387,Mental Health,www.centralalabama
690,"CAVHCS has a commitment to provide the most effective, evidence-based care for Post Traumatic Stress Disorder.",/services/PTSD_Resources.asp,Central Alabama Veterans Health Care System,334-727-0550 Ext. 3843,PTSD Resources,www.centralalabama
691,CAVHCS Chaplains have met the stringent requirements for Board Certification and have been awarded the status of Board Certified Chaplain.,/services/Pastoral_Care_Education.asp,Central Alabama Veterans Health Care System,334-727-0550 Ext. 2586/3766  334-727-0550 Ext. 4598/3755,Pastoral Care Education,www.centralalabama
692,"Our pharmacy processes thousands of prescriptions. Your prescriptions may be refilled by mail, phone, or online.",/services/pharmacy.asp,Montgomery CampusTuskegee Campus,334-272-4670 Ext. 4237  334-727-0550 Ext. 3144/3145,Pharmacy,www.centralalabama
693,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,/services/primary.asp,Central Alabama Veterans Health Care System,800-214-8387,Primary Care,www.centralalabama
694,Social work is an integral part of health care. Our social work program assists veterans with counseling and community services.,/services/socialwork.asp,Central Alabama Veterans Health Care System,800-214-8387,Social Work,www.centralalabama
695,"If you are enrolled in the U.S. Army Wounded Warrior Program - AW2, we have a AW2 Advocate at VACIHCS to help you through the Wounded Warrior Lifecycle.",/services/Army_Wounded_Warrior_Program_AW2_Advocate_Support.asp,"Building 3 - Administrative Building,  Floor 1, Room 1913",515-242-4469,Army Wounded Warrior Program (AW2) Advocate Support,www.centraliowa
696,The VA has long been recognized as a leader in blind rehabilitation both in the United States and abroad.,/services/Blind_Rehabilitation.asp,VA Central Iowa Health Care System,515-699-5942,Blind Rehabilitation Services,www.centraliowa
697,Learn how to manage your diabetes with VACIHCS Diabetes Education Program,/services/Diabetes_Education.asp,"Main Campus, Building 1, 1704Main Campus, Building 1, 1706",515-699-5999 Ext. 4255,Diabetes Education Program,www.centraliowa
698,Learn more about Extended Care and Rehabilitation.,/services/Extended_Care_and_Rehabilitation.asp,"CLC, Building 12",515-699-5999 Ext. 4373  515-699-5999 Ext. 3562,Extended Care and Rehabilitation,www.centraliowa
699,"The Medical Foster Home Program is a voluntary program that offers safe, long-term care in a home like setting.",/services/Medical_Foster_Home_Program.asp,MHC 605E-20,515-699-5715,Medical Foster Home Program,www.centraliowa
700,Learn more about our Mental Health.,/services/Mental_Health.asp,Main Hospital,515-699-5999,Mental Health,www.centraliowa
701,"VACIHCS offers a robust Music Therapy Program to therapeutically address physical, psychological, cognitive and social functioning for Veteran patients of all ages.",/services/Music_Therapy.asp,"Des Moines Main Campus, CLC - Building 12",515-699-5999 Ext. 4949,Music Therapy,www.centraliowa
702,Learn more about our Parkinsons Disease program.,/services/Parkinsons_Disease.asp,Main Hospital,515-699-5999,Parkinson's Disease,www.centraliowa
703,Learn more about our Pharmacy.,/services/pharmacy.asp,Main Hospital,515-699-5832  800-294-8387 Ext. 9-5832,Pharmacy,www.centraliowa
704,Th Pharmacy Resident Program offers residents opportunities to practice in diverse patient care settings.,/services/Pharmacy_Residency_Program.asp,"Pharmacy Department, Bldg 1, Room 1193600 30th StreetDes Moines, IA 50310",515-699-5999  800-294-8387,Pharmacy Residency Program,www.centraliowa
705,Learn more about our Primary Care.,/services/Primary_Care.asp,Main Hospital,515-699-5999,Primary Care,www.centraliowa
706,The Predoctoral Internship in Professional Psychology at VACIHCS is a member of the Association of Psychology Postdoctoral and Internship Centers.,/services/Psychology_Internship_Program.asp,"Amanda Collins-Mesmman3600 30th StreetDes Moines, IA 50310",515-699-5999 Ext. 7841,Psychology Internship Program,www.centraliowa
707,"VACIHCS Recreation Therapy: Restoring Function, Recreating Lives",/services/Recreation_Therapy.asp,"Des Moines Main Campus, CLC - Building 12",515-699-5999 Ext. 4300  515-699-5999 Ext. 4939,Recreation Therapy,www.centraliowa
708,Learn more about our Research.,/services/research.asp,Main Hospital,515-699-5999,Research,www.centraliowa
709,Learn more about our Social Work.,/services/Social_Work.asp,Main Hospital,515-699-5999,Social Work,www.centraliowa
710,Learn more about our Specialty Care.,/services/Specialty_Care.asp,Main Hospital,515-699-5999,Specialty Care,www.centraliowa
711,Telehealth provides clinical care where distance separates those receiving services and those providing services.,/services/Telehealth.asp,"Des Moines Medical Center, Bldg 1, Rm 3404",515-699-5999 Ext. 3998,Telehealth,www.centraliowa
712,Blind Rehabilitation Center in Waco provides comprehensive blind rehabilitation services to legally blind Veterans.,/services/BlindRehabilitation.asp,"Waco, Building 7",254-297-3649 Ext. 53649  254-297-3123 Ext. 53123,Blind Rehabilitation,www.centraltexas
713,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PMRS/Chiropractic_Clinic.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632,Chiropractic Clinic,www.centraltexas
714,The Advanced Education in General Dentistry (AEGD) program at CTVHCS selects one or two one year residents annually.,/services/Dental.asp,"Temple, Building 163",254-743-0764  254-743-0765,Dental,www.centraltexas
715,Education Service welcomes residents and students to train with us.,/services/Education.asp,Temple,254-778-4811 Ext. 409334,Education,www.centraltexas
716,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PMRS/FitnessRehabilitation.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632,Fitness Rehabilitation Program,www.centraltexas
717,The Health Promotion Disease Prevention (HPDP) Program assists with disease prevention.,/services/HPDP.asp,Temple,254-743-1304  254-743-0061,Health Promotion Disease Prevention Program,www.centraltexas
718,Home Based Primary Care is committed to providing Veterans with the highest quality care experience in the comfort of their own home.,/services/Home_Based_Primary_Care.asp,Central Texas Veterans Health Care System,254-743-2635  254-743-1558,Home Based Primary Care,www.centraltexas
719,Home Telehealth was designed to manage multiple health disorders that are affecting our Veteran population.,/services/HomeTelehealth.asp,Temple,254-778-4811 Ext. 44948  254-778-4811 Ext. 41124,Home Telehealth,www.centraltexas
720,MOVE is a national VA program designed to help Veterans lose weight.,/services/nutrition/MOVE.asp,Temple: 254-743-1999Austin: 512-823-4240Waco: 254-297-3212,254-743-1999  800-423-2111 Ext. 41999,MOVE!,www.centraltexas
721,The mission for Medical Service is to provide quality care for all patients with the best services available in general internal medicine and medical subspecialties.,/services/Medical.asp,"Temple, Building 204, Room 4G18",254-743-0883,Medical,www.centraltexas
722,"The Mission of the Medical Foster Home Program is to provide Veterans with an alternative to nursing home care in a caring, supportive, community based home.",/services/Medical_Foster_Home.asp,"Temple, Bldg. 209",254-742-4927,"Medical Foster Home, Social Work",www.centraltexas
723,"Central Texas VA, mental health programs and treatment settings.",/services/Mental_Health.asp,"Austin Mental Health Clinic, 2nd FloorTemple Campus, Building 147Waco Campus, Building 94",512-823-4040  254-743-2897,Mental Health,www.centraltexas
724,Specific information on the My HealtheVet program in Central Texas Veterans Health Care System.,/services/My_HealtheVet.asp,"Olin E. Teague Veterans Center, Temple",254-743-0100,My HealtheVet,www.centraltexas
725,The nutrition and food service at Central Texas Veterans Health Care System maintains a progressive program for both preventive care and for Medical Nutrition Therapy.,/services/Nutrition.asp,Temple,254-743-0360,Nutrition and Food,www.centraltexas
726,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PMRS/OccupationalTherapy.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632,Occupational Therapy,www.centraltexas
727,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PMRS/Outpatient_Medical_Rehabilitation.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632  512-389-3136,Outpatient Medical Rehabilitation Program,www.centraltexas
728,Pathology and Laboratory Medicine Service (P&LMS) provides timely cost effective laboratory services to meet the needs of our veteran population.,/services/PathologyLaboratoryMedicine.asp,"Temple, Building 163, Room 1D122",254-743-0813  254-743-0545,Pathology & Laboratory Medicine,www.centraltexas
729,Pharmacy service is an essential part of patient care.,/services/Pharmacy.asp,"Temple, Building 163, Teague Tower, 1st floor, Windows 10 and 11Waco, Building 4, BasementAustin, 1st Floor, Room 1B-101",800-423-2111 Ext. 53990  254-778-4811 Ext. 53990,Pharmacy,www.centraltexas
730,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PMRS/Physiatry_EMG.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632,Physiatry/Electromyography (EMG),www.centraltexas
731,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PhysicalMedicineRehabilitation.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632,Physical Medicine & Rehabilitation,www.centraltexas
732,The Central Texas Veterans Health Care System provides rehabilitation services that emphasize independent functioning.,/services/PMRS/PhysicalTherapy.asp,"Temple, Building 163, Room BB120Waco 4800 Memorial Drive, Waco, TX  76711Austin 7901 Metropolis Dr, Austin, TX 78744",254-743-2632,Physical Therapy,www.centraltexas
733,The Central Texas Veterans Health Care System offers treatment for Post Traumatic Stress Disorder on an outpatient basis and on a more intensive residential basis.,/services/PTSD.asp,"Austin, Temple, Waco",254-743-2424  254-297-3538,Post Traumatic Stress Disorder,www.centraltexas
734,"Central Texas VA offers intensive, residential treatment for combat-related PTSD.",/services/PTSD/PTSD_Residential_Program.asp,"4800 Memorial DriveWaco, TX  76711Building 7",254-297-3210,Post Traumatic Stress Disorder,www.centraltexas
